X,Y,Debris Levels,Date
-134.5772,43.6962,0,22/07/2011
-146.2703,40.2372,0,18/07/2011
-158.7325,31.3132,0,17/09/2009
-130.3722,23.5677,0,16/06/2009
-138.9,37.15,0,28/07/2009
-131.535,34.7433,0,09/01/2009
-159.5167,22.4217,0,19/08/2009
-144.4545,40.0895,0,19/07/2011
-146.387,24.6048,0,21/06/2009
-154.435,19.8499,0,11/12/2007
-137.5418,42.0602,0,21/07/2011
-140.9322,40.3673,0,20/07/2011
-160.4192,23.567,0,30/06/2009
-146.0167,37.6333,0,08/03/2010
-154.3368,19.6952,0,11/12/2007
-142.2665,38.641,0,20/09/2007
-164.4812,23.5707,0,25/01/2008
-128.1097,25.107,0,15/06/2009
-132.2,38.15,0,08/08/2010
-160.8771,22.0117,0,23/01/2008
-148.0525,40.4037,0,18/07/2011
-158.9848,25.6292,0,09/09/2009
-146.6687,24.4147,0,21/06/2009
-155.03,30.025,0,18/08/2012
-155.4457,19.0713,0,24/11/2007
-142.0333,37.1,0,30/07/2011
-150.16,40.5133,0,17/07/2011
-155.7317,41.3388,0,15/07/2011
-158.1481,33.1199,0,08/03/2010
-160.2667,43.0667,0,31/07/2011
-141.772,38.6913,0,20/09/2007
-160.5405,21.6509,0,23/01/2008
-151.3663,32.3193,0,08/08/2010
-176.8333,30.2817,0,26/06/2012
-132.573,35.8771,0,02/10/2008
-157.3833,27.5667,0,30/07/2009
-154.2,27.5667,0,23/07/2009
-133.865,37.2045,0,16/09/2007
-178.9072,40.3088,0,19/07/2009
-155.9333,32.3333,0,08/09/2010
-176.4782,34.4452,0,07/12/2010
-146.4777,24.5445,0,21/06/2009
-178.7088,40.492,0,19/07/2009
-149.7333,32.7,1,31/07/2010
-141.0167,38.0833,1,08/05/2010
-155.6586,18.8899,1,11/10/2007
-169.1825,34.3688,1,07/07/2009
-148.678,33.8843,1,08/09/2010
-154.6866,19.9206,1,11/12/2007
-155.5729,19.0051,1,24/11/2007
-160.3025,26.6528,1,09/11/2009
-138.8018,38.1875,1,08/03/2011
-160.9692,22.0984,1,23/01/2008
-156.707,40.2005,1,14/07/2011
-150.95,37.7333,1,08/06/2010
-169.6959,32.5552,1,30/01/2008
-151.9,37.2667,1,08/04/2010
-142.0264,38.6878,1,20/09/2007
-159.246,33.1373,1,19/09/2009
-145.0356,36.5084,1,22/09/2007
-165.4097,30.1206,1,27/01/2008
-138,37.85,1,26/07/2009
-158.6852,30.8125,1,17/09/2009
-145.0333,41.4333,1,08/09/2010
-159.5167,31.1333,1,08/07/2011
-172.951,34.5922,1,07/10/2009
-156.2367,41.0398,1,15/07/2011
-158.3032,27.4852,1,21/08/2009
-155.0833,33.9,1,08/03/2010
-163.2292,30.5422,1,07/04/2009
-159.92,32.4983,1,18/09/2009
-165.4256,30.989,1,27/01/2008
-155.7068,41.3213,1,15/07/2011
-152.3518,38.0762,1,30/07/2011
-157.4,35.4167,1,08/01/2010
-166.1064,32.4721,1,02/01/2008
-156.0833,29.65,1,01/08/2010
-171.9347,35.0003,1,07/09/2009
-154.7333,33.3667,1,08/07/2010
-150.4667,30.5,1,08/03/2011
-160.3058,28.0083,1,09/11/2009
-164.9998,33.2827,1,02/02/2008
-157.6883,24.0219,1,08/06/2012
-159.979,31.1502,1,13/09/2009
-155.0833,33.9,1,08/03/2010
-157.1617,26.8867,1,08/07/2012
-160.4152,33.7601,1,02/04/2008
-154.2545,41.2838,1,16/07/2011
-156.8332,32.2027,1,07/11/2011
-168.1356,33.0136,1,29/01/2008
-165.4,32.0113,1,28/01/2008
-154.1437,35.6339,1,08/11/2012
-136.82,34.8083,1,30/08/2009
-171.7438,35.002,1,07/09/2009
-155.0567,29.0717,1,18/08/2012
-157.5585,36.1594,1,02/06/2008
-160.2433,31.1583,1,13/09/2009
-162.6273,29.771,1,07/03/2009
-156.087,19.3403,1,24/11/2007
-161.9107,22.9567,1,24/01/2008
-143.3333,37.8667,1,08/04/2010
-156.5667,30.9333,1,29/07/2011
-155.8867,34.4279,1,08/05/2010
-156.6833,28.7167,1,25/07/2011
-162.048,29.301,1,07/03/2009
-151.3333,31.1167,1,30/07/2010
-147.7,35.1833,1,08/06/2011
-157.35,30.95,1,21/07/2009
-176.4583,34.4678,1,07/12/2009
-159.0086,32.005,1,18/09/2009
-139.8182,35.9653,1,13/02/2008
-137.6833,38.1667,1,08/06/2010
-161.7833,38.9667,1,29/07/2011
-139.95,35.7,1,31/07/2011
-171.635,35.0628,1,07/09/2009
-157.1333,29.6667,1,08/09/2012
-153.52,29.4539,1,27/09/2007
-170.019,34.3877,1,07/08/2009
-133.7417,34.5883,1,31/08/2009
-138.5103,35.7633,1,14/02/2008
-143.8151,37.8664,1,21/09/2007
-150.8167,36.9833,1,08/05/2010
-156.8608,31.5383,1,07/11/2011
-157.4175,28.265,1,27/07/2011
-146.5,36.55,1,29/07/2011
-155.6667,32.9,1,30/07/2011
-157.8488,34.5145,1,02/05/2008
-138.9167,37.1667,1,27/07/2009
-150.3047,37.6891,1,08/12/2012
-140.3313,36.0408,1,13/02/2008
-129.1617,34.6683,1,09/02/2009
-138.7748,35.7626,1,14/02/2008
-164.2543,31.6068,1,07/04/2009
-167.992,32.2592,1,31/01/2008
-158.05,33.6833,1,08/03/2010
-167.9233,33.0118,1,29/01/2012
-146.9627,32.5488,1,24/09/2007
