X,Y,Name,description,Debris Levels,Wind Speed,Wind Direction,Long,Lat,Debris Categories,Date,Boat,Field_1
-152.049999999845,24.8666666662767,Radiance,,0,15,056,-152.05,24.866667,No Debris,7/18/2012,Radiance,Radiance
-126.233333333295,47.05,Big Ben,,1,18,300,-126.233333,47.05,Occasional Small & Medium Debris,7/7/2012,Big Ben,Big Ben
-125.900000000241,46.1166666663639,Red Heather,,0,19,320,-125.9,46.116667,No Debris,7/8/2012,Red Heather,Red Heather
-125.516666666645,46.1,Turicum,,1,18,275,-125.516667,46.1,Occasional Small & Medium Debris,7/8/2012,Turicum,Turicum
-126.083333333466,42.4333333335618,Radiance,,1,21,320,-126.083333,42.433333,Occasional Small & Medium Debris,7/8/2012,Radiance,Radiance
-126.7,41.233333333191,Terremoto,,0,25,320,-126.7,41.233333,No Debris,7/9/2012,Terremoto,Terremoto
-126.366666666876,42.0333333336014,Kinetic,,0,21,354,-126.366667,42.033333,No Debris,7/9/2012,Kinetic,Kinetic
-126.083333333466,43.3000000001425,Family Affair,,1,16,325,-126.083333,43.3,Occasional Small & Medium Debris,7/9/2012,Family Affair,Family Affair
-126.766666666721,43.1833333331875,Turicum,,1,15,325,-126.766667,43.183333,Occasional Small & Medium Debris,7/9/2012,Turicum,Turicum
-130.516666666947,37.6333333332731,Double Take,,1,19,333,-130.516667,37.633333,Occasional Small & Medium Debris,7/10/2012,Double Take,Double Take
-128.966666666315,37.5333333333179,Terremoto,,0,25,330,-128.966667,37.533333,No Debris,7/10/2012,Terremoto,Terremoto
-127.45,40.766666666647,Anne Bonny,,1,24,320,-127.45,40.766667,Occasional Small & Medium Debris,7/10/2012,Anne Bonny,Anne Bonny
-127.966666666254,40.1166666669835,Family Affair,,1,25,330,-127.966667,40.116667,Occasional Small & Medium Debris,7/10/2012,Family Affair,Family Affair
-130.466666666405,36.2500000000203,Incantation,,2,18,330,-130.466667,36.25,Frequent Small & Medium Debris,7/11/2012,Incantation,Incantation
-134.133333333593,34.55,Double Take,,3,14,004,-134.133333,34.55,Frequent Medium & Occasional Large Debris,7/11/2012,Double Take,Double Take
-130.466666666405,38.3666666665272,Anne Bonny,,1,22,310,-130.466667,38.366667,Occasional Small & Medium Debris,7/11/2012,Anne Bonny,Anne Bonny
-134.049999999656,33.5666666665718,Incantation,,1,18,350,-134.05,33.566667,Occasional Small & Medium Debris,7/12/2012,Incantation,Incantation
-133.616666666416,34.6833333330691,Bravo Zulu,,1,15,005,-133.616667,34.683333,Occasional Small & Medium Debris,7/12/2012,Bravo Zulu,Bravo Zulu
